rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/airport_1975,Airport 1975,"When an in-flight collision incapacitates the pilots of an airplane bound for Los Angeles, stewardess Nancy Pryor (Karen Black) is forced to take over the controls. From the ground, her boyfriend Alan Murdock (Charlton Heston), a retired test pilot, tries to talk her through piloting and landing the 747 aircraft. Worse yet, the anxious passengers -- among which are a noisy nun (Helen Reddy) and a cranky man (Sid Caesar) -- are aggravating the already tense atmosphere.",,PG,"Action & Adventure, Drama, Mystery & Suspense",Jack Smight,"Don Ingalls, Jack Smight","Charlton Heston, Karen Black, George Kennedy, Sid Caesar, Efrem Zimbalist Jr., Susan Clark, Helen Reddy, Gloria Swanson, Linda Blair, Nancy Olson, Dana Andrews, Roy Thinnes, Myrna Loy, Ed Nelson, Larry Storch, Martha Scott, Norman Fell, Kip Niven, Jerry Stiller, Conrad Janis, Charles White, Beverly Garland, Augusta Summerland, Guy Stockwell, Alan Fudge, Erik Estrada, Ken Sansom, Austin Stoker, Brian Morrison, John Lupton, Christopher Norris, Gene Dynarski, Irene Tsu, Sharon Gless, Laurette Spang",10/18/1974,8/13/2015,107,Universal Pictures,Rotten,25,16,Spilled,37,9050,1,4,12
m/airport_77,Airport '77,"The story about the mid-air hijack of a multi-millionaire's private 747 carrying a collection of priceless works of art. The terrified pilot is forced by the hijackers to fly low to avoid radar detection and, as a result, the plane hits an oil rig and crashes into the sea. As the stricken airliner sinks, its passengers and crew are faced with a nightmare fight for survival.",,PG,"Action & Adventure, Drama, Mystery & Suspense",Jerry Jameson,"Michael Scheff, David Spector, Jerry Jameson","Jack Lemmon, Lee Grant, Brenda Vaccaro, Joseph Cotten, Olivia de Havilland, Darren McGavin, Christopher Lee, James Stewart, George Kennedy, Robert Foxworth, Robert Hooks, Monte Markham, Kathleen Quinlan, Gil Gerard, James Booth, Monica Lewis, Maide Norman, Pamela Bellwood, Arlene Golonka, Tom Sullivan, M. Emmet Walsh, Michael Richardson, Michael Pataki, George Furth, Richard Venture, Peter Fox, Chris Lemmon, Tom Rosqui, Dar Robinson, Paul Tuerpé, Arthur Adams, Ron Burke, Ted Chapman, Peter Greene, John Kerry, Janet Brady, Elizabeth Cheshire, Anthony Battaglia, James Arnett, Mary Nancy Burnett, Beverly Gill, Rickie Sorenson, Bill Jelliffe, George Whiteman",3/11/1977,8/13/2015,113,Universal Studios,Rotten,33,9,Spilled,33,8510,1,3,6
m/ali-g-indahouse-the-movie,Ali G Indahouse,"Ali G, the U.K.'s hottest comic sensation, makes his way to American audiences with ""Ali G Indahouse."" In his big-screen debut, the chilled-out, hip-hopping, white gangsta-rapper wannabe finds himself in the bizarre position of having to resolve one of Great Britain's biggest national and political scandals. Abetted by his loyal crew, the West Staines Massive and long-suffering girlfriend Me Julie, he emerges as the unlikeliest of heroes.",,R,Comedy,Mark Mylod,"Sacha Baron Cohen, Dan Mazer","Sacha Baron Cohen, Michael Gambon, Charles Dance, Kellie Bright, Martin Freeman, Rhona Mitra, Barbara New, Emilio Rivera, Manny Perez, Jonathan Aris, John Scott Martin",11/2/2004,10/1/2014,88,Universal Pictures,Rotten,53,17,Spilled,54,87934,2,9,8
m/all_that_heaven_allows,All That Heaven Allows,"Predicated on a May-December romance. The difference here is that the woman, attractive widow Cary Scott (Jane Wyman), is considerably older than the man, handsome gardener-landscaper Ron Kirby (Rock Hudson). Throwing conventional behavior to the winds and facing social ostracism, Cary pursues her romance with Ron, who is unjustly perceived as a fortune-hunter by Cary's friends and family -- especially her priggish brother Ned (William Reynolds).","Big heart, big drama, and even bigger colors, All That Heaven Allows is tip top Douglas Sirk.",NR,"Classics, Drama, Romance",Douglas Sirk,"Douglas Sirk, Peg Fenwick, Edna L. Lee, Peggy Fenwick","Jane Wyman, Rock Hudson, Conrad Nagel, Agnes Moorehead, Virginia Grey, Gloria Talbott, William Reynolds, Jacqueline de Wit, Charles Drake, Hayden Roarke, Leigh Snowden, Donald Curtis, Alex Gerry, Hayden Rorke, Merry Anders, Nestor Paiva, Forrest Lewis, Tol Avery, Lillian Culver, David Janssen, Jim Hayward, Paul Keast, Joseph Mell, Vernon Rich, Gia Scala",12/9/1955,5/6/2017,89,Universal,Fresh,90,30,Upright,81,5314,4,27,3
m/along_came_polly,Along Came Polly,"Actuary Reuben Feffer (Ben Stiller) is so aware of the risks inherent in all situations that he is unable to risk anything. His bride, Lisa Kramer (Debra Messing), seems perfect but cheats on him during their honeymoon. Back home in New York City, his best friend, former child star Sandy (Philip Seymour Hoffman), urges him to attend a party. There he meets an ex-classmate, Polly Prince (Jennifer Aniston), whose spirited ways spark his adoration but confound his neuroses.","Though the supporting actors are funny, Stiller and Aniston don't make a believable couple, and the gross-out humor is gratuitous.",PG-13,"Comedy, Drama, Romance",John Hamburg,John Hamburg,"Ben Stiller, Jennifer Aniston, Philip Seymour Hoffman, Debra Messing, Alec Baldwin, Hank Azaria, Bryan Brown, Jsu Garcia, Michelle Reis, Bob Dishy, Missi Pyle, Judah Friedlander, Kevin Hart, Suzanne Whang, Masi Oka, Kym E. Whitley, Amy Hohn, Nathan Dean, Cheryl Hines, Caroline Aaron, Christina Kirk, Todd Stashwick, Robb Skyler, Eddie Conna, Bruce Nozick, Mark Adair-Rios, Michael Shamberg, Nick Jameson, Richard Willgrubs, Richard Assad, Ronald Hunter, David Baron, James DuMont, Nicholas Benevento, Jeffrey Ross, Mitch Silpa, Robert M. Koch, Mark Ramos Nishita, Theodore Shapiro, Claudia Tenoro Gonzales, Carmit Bachar, Marco De La Cruz, Alison Faulk, Gustavo Vargas, Tomasina Parrott, Allen Walls, Rudy Zalez, Paul Blazeak, Richard Barron, George Balmaseda, Leslie Drayton, José Espinosa, Walter Miranda, Alfredo Ortiz, Phillip Ranelin, Michael Wong, Adrienne Ash, Christine Barger, Toni Blair, Eugenia Care, Mari Endo, Mike Fujimoto, Gustavo Hernández, Monique Jongs, Anjulie Marriott, Jeffrey Sherrard, Ryan Cross, Anthony King, Vernon Neilly, Stu Silverstein",1/16/2004,2/9/2015,90,Universal Pictures,Rotten,27,162,Spilled,47,463391,39,43,119
m/alpha_dog,Alpha Dog,"Teenage dealer Johnny Truelove (Emile Hirsch) and his friends kidnap the impressionable younger brother (Anton Yelchin) of a junkie (Ben Foster) who refuses to pay his drug debt. Things change unexpectedly when Frankie (Justin Timberlake), one of Johnny's pals, befriends the youth.","A glossy yet unflinching portrait of violent, hedonistic teenagers. Bruce Willis and Sharon Stone chew the scenery, while Justin Timberlake gives a noteworthy performance.",R,"Drama, Mystery & Suspense",Nick Cassavetes,Nick Cassavetes,"Emile Hirsch, Justin Timberlake, Anton Yelchin, Ben Foster, Shawn Hatosy, Bruce Willis, Sharon Stone, Chris Marquette, Lukas Haas, Alex Kingston, Harry Dean Stanton, Dominique Swain, David Thornton, Heather Wahlquist, Vincent Kartheiser, Alex Solowitz, Fernando Vargas, Olivia Wilde, Holt McCallany, Alec Vigil, Vincent Laresca, Matthew Barry, Frank Cassavetes, Nicole Dubos, Regina Rice, Laura Nativo, Jesse Erwin, Paul Johansson, Nancy De Mayo, Alexandra Cassavetes, Chuck Pacheco, Frank Peluso, Shera Danese, Greg Williams, Joshua Alba, Shirley Kurata, Patrick Nguyen, Chris Kinkade, Amanda Seyfried, Charity Shea, Bobby Cooper, Stephanie Fowler, Natasha Elliott, Amber Heard, Janet Jones, Alan Thicke, Adrianna Belan",1/12/2007,5/8/2015,118,Universal Studios,Rotten,54,144,Upright,67,422575,46,78,66
m/always,Always,"Aerial firefighter Pete (Richard Dreyfuss) risks himself and his vintage World War II airplane in a constant and death-defying quest to fight forest wildfires, much to the dismay of his girlfriend, Dorinda (Holly Hunter). His love for Dorinda and the advice of fellow pilot Al (John Goodman) convince Pete to give up his perilous career, but he flies one last mission. Pete heroically saves Al's plane from certain destruction, but with supernatural consequences.","Its central romance takes occasional dives into excessive sentimentality, but Always otherwise flies high thanks to director Steven Spielberg's rousing feel for adventure.",PG,"Drama, Science Fiction & Fantasy, Romance",Steven Spielberg,"Dalton Trumbo, Frederick Hazlitt Brennan, Ronald Bass, Jerry Belson, Melissa Mathison","Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman, Audrey Hepburn, Roberts Blossom, Keith David, Ed Van Nuys, Marg Helgenberger, Dale Dye, Brian Haley, Alan Rachins, James Lashly, Rick van Nutter, Michael Steve Jones, Kim Robillard, Jim Sparkman, Doug McGrath, Joseph McCrossin, J.D. Souther, Gerry Rothschild, Loren Smothers, David Kitay, Ted Grossman, Taleena Ottwell",12/22/1989,1/1/2015,122,MCA Universal Home Video,Fresh,67,24,Upright,60,22762,3,16,8
m/amazing_journey_the_story_of_the_who,Amazing Journey: The Story of The Who,"This epic documentary reveals the legendary rock band The Who in unrivaled detail. Spanning four decades of their explosive and innovative rock music, the film includes rare and never-before-seen concert and archive footage from the group's humble beginnings to their meteoric rise to world stardom. This in-depth narrative offers extensive interviews with each member of the band as well as testimonials from other rock music icons about the influence of The Who on their own music and careers.",,NR,"Documentary, Musical & Performing Arts","Paul Crowder, Murray Lerner",,"Roger Daltrey, Pete Townshend, John Entwistle, Keith Moon, Kenney Jones, Bill Curbishley, Chris Stamp, Richard Barnes, Glyn Johns, Bob Pridden, Paul Crowder",10/30/2007,6/21/2016,119,Universal Studios Home Entertainment,Fresh,80,5,Upright,92,703,2,4,1
m/american-pie-5-the-naked-mile,American Pie 5: The Naked Mile,A high schooler (John White) believes he can lose his virginity at a notorious race where people run in the nude.,,R,Comedy,Joe Nussbaum,Erik Lindsay,"John White, Jessy Schram, Candace Kaye Kroslak, Christopher McDonald, Eugene Levy, Ross Thomas, Jake Siegel, Jason 'Wee Man' Acuña, Jordan Prentice, Maria Ricossa, Candace Kroslak, Mika Winkler, Steve Talley, Jessica Booker, Angel Lewis, Jordan Madley, Jaclyn A. Smith, Melanie Merkosky, Joe Bostick, Jon Cor, Jennifer Gouveia, Alex Clarke, Erin Clarke, Pete Zedlacher, Patricia Krasowski, Alyssa Nicole Pallett, Michelle Cormier, Stephany Sexton, Bill Turnbull, J.J. Gallo, Shomari Downer, Stuart Clow, Dan Petronijevic, Alexis Maitland",12/19/2006,6/15/2012,102,Universal Studios Home Video,Rotten,0,5,Upright,61,213883,0,0,5
m/american_dreamz,American Dreamz,"Hoping to shock the president (Dennis Quaid) out of an apparent nervous breakdown, the White House chief of staff (Willem Dafoe) books him as a guest judge on the country's hottest TV talent show. With a ruthless host (Hugh Grant), a conniving singer (Mandy Moore), and a sleeper-cell terrorist in the mix, the stage is set for an unforgettable program.","A cheerfully silly satire with an unfortunate lack of focus, American Dreamz takes aim at numerous targets, but isn't pointed enough for relevant social commentary.",PG-13,"Comedy, Drama",Paul Weitz,Paul Weitz,"Hugh Grant, Dennis Quaid, Mandy Moore, Willem Dafoe, Chris Klein, Marcia Gay Harden, Shohreh Aghdashloo, Jennifer Coolidge, Sam Golzari, Seth Meyers, John Cho, Judy Greer, Bernard White, Tony Yalda, Noureen DeWulf, Jay Harik, Adam Busch, Carmen Electra, Haaz Sleiman, Nick Schutt, Lisa K. Wyatt, Beau Holden, Tim Edward Rhoze, Marley Shelton, Lawrence Pressman, Aldis Hodge, Christianne Klein, Chao Li Chi, Andrew Divoff, James Gleason, Michael D. Roberts, Kevin R. Kelly, Mike Batayeh, Sean-Michael Bowles, Richard Bartlett, Perrey Reeves, Jerome Caldwell, Karen Gordon",4/21/2006,8/13/2015,107,Universal Pictures,Rotten,38,183,Spilled,31,96086,49,70,113
m/american_gangster,American Gangster,"Frank Lucas (Denzel Washington) earns his living as a chauffeur to one of Harlem's leading mobsters. After his boss dies, Frank uses his own ingenuity and strict business code to become one of the inner city's most powerful crime bosses. Meanwhile, veteran cop Richie Roberts (Russell Crowe) senses a change in the mob's power structure and looks for ways to bring his opponent to justice.","American Gangster is a gritty and entertaining throwback to classic gangster films, with its lead performers firing on all cylinders.",R,Drama,Ridley Scott,"John Hawkes, Steven Zaillian","Denzel Washington, Russell Crowe, Josh Brolin, Chiwetel Ejiofor, Lymari Nadal, Ruby Dee, Ted Levine, Roger Guenveur Smith, John Hawkes, RZA, Yul Vázquez, Malcolm Goodwin, Ruben Santiago-Hudson, Carla Gugino, John Ortiz, Cuba Gooding Jr., Armand Assante, Kathleen Garrett, Jon Polito, Joe Morton, Ritchie Coster, Kevin Corrigan, Bari K. Willerford, Idris Elba, Common, Ric Young, Roger Bart, T.I., KaDee Strickland, Norman Reedus, J. Kyle Manzay, Warner Miller, Albert Jones, Hamilton Clancy",11/2/2007,8/13/2015,157,Universal Pictures,Certified-Fresh,80,215,Upright,87,963162,57,173,42
m/american_graffiti,American Graffiti,"On the last day of summer vacation in 1962, friends Curt (Richard Dreyfuss), Steve (Ronny Howard), Terry (Charles Martin Smith) and John (Paul Le Mat) cruise the streets of small-town California while a mysterious disc jockey (Wolfman Jack) spins classic rock'n'roll tunes. It's the last night before their grown-up lives begin, and Steve's high-school sweetheart, a hot-to-trot blonde, a bratty adolescent and a disappearing angel in a Thunderbird provide all the excitement they can handle.","One of the most influential of all teen films, American Graffiti is a funny, nostalgic, and bittersweet look at a group of recent high school grads' last days of innocence.",PG,"Comedy, Drama",George Lucas,"George Lucas, Gloria Katz, Willard Huyck","Richard Dreyfuss, Ron Howard, Paul Le Mat, Cindy Williams, Harrison Ford, Suzanne Somers, Flash Cadillac & the Continental Kids, Charles Martin Smith, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Kay Lenz, Kathleen Quinlan, Tim Crowley, Terence McGovern, Jan Wilson, John Brent, Caprice Schmidt, Jana Bellan, Joe Spano, Charles Dorsett, Christopher Pray, Susan Richardson, Donna Wehr, Al Nalbandian, Jim Bohan, Ron Vincent, Fred Ross, Jody Carlson, Debra Scott, Cam Whitman, John Bracci, Debbie Celiz, Manuel Padilla, Lynne Marie Stewart, Ed Greenberg, Gordon Analla, Lisa Herman, Debralee Scott, Chuck Dorsett, Stephen Knox, Herby and the Heartbeats, Bob Pasaak, Terry McGovern, Joseph Miksak, George Meyer, William M. Niven, James Cranna, Del Close, Charles A. Murphy, Jan Dunn, Johnny Weissmuller Jr., Scott Beach, Albert Nalbandian",8/1/1973,8/13/2015,110,Universal Pictures,Certified-Fresh,96,52,Upright,84,64618,7,50,2
m/american_made_2017,American Made,"Barry Seal, a TWA pilot, is recruited by the CIA to provide reconnaissance on the burgeoning communist threat in Central America and soon finds himself in charge of one of the biggest covert CIA operations in the history of the United States. The operation spawns the birth of the Medellin cartel and almost brings down the Reagan White House.",American Made's fast-and-loose attitude with its real-life story mirrors the cavalier -- and delightfully watchable -- energy Tom Cruise gives off in the leading role.,R,"Action & Adventure, Drama, Mystery & Suspense",Doug Liman,Gary Spinelli,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons, Caleb Landry Jones, Jayma Mays, Lola Kirke, Alejandro Edda, Alejandro Edda, Benito Martinez, E. Roger Mitchell, Jed Rees, Fredy Yate Escobar, Fredy Yate Escobar, Mauricio Mejía, Mauricio Mejía, Robert P. Farrior, Morgan Hinkleman, Morgan Hinkleman, Alberto Ospino, Alberto Ospino, Filipe Bernedette, Filipe Bernedette, Daniel Lugo, Jayson Warner Smith, William Mark McCullough, William Mark McCullough, April Billingsley, Lauren Boyd, Lauren Revard, Lauren Revard, Marcus Hester, Mike Pniewski, Frank Licari, Frank Licari, Alex Collins, Alex Collins, Scott Poythress, Connor Trinneer, Alpha Trivette, Kevin L. Johnson, Kevin L. Johnson, Devere Jehl, Emilio Sierra, Emilio Sierra, Leon Lamar, Tony Guerrero, Tony Guerrero, Maria Howell, Darla Delgado, Darla Delgado, Justice Leak, Robert Pralgo, Mickey Sumner, Daniel Thomas May, Daniel May, Chloe Swan Sparwath, Chloe Swan Sparwath, Alex Quarles, Alex Quarles, Trip McCarthy, Trip McCarthy, Zachary Powell, Zachary Powell, Byron Diaz, Byron Diaz, Byron Wigfall, Byron Wigfall, Carlos López, Jairo Ordoñez, Jairo Ordoñez, Jeffrey Olsen, Stephen Conroy, Juan Esteban Ramirez Toro, Juan Esteban Ramirez Toro, Robert Farrior, Kayla Perkins, Dr. Sharon Morris May, Steve Coulter, Robert Lloyd Moore, Inder Kumar, Patti Schellhaas, Juan Gaspard",9/29/2017,12/19/2017,115,Universal Pictures,Certified-Fresh,86,267,Upright,78,26285,51,229,38
m/american_me,American Me,"As a young man, Montoya Santana (Edward James Olmos) is introduced to gang life on the tough streets of Los Angeles after spending his youth in reform school. Soon Santana finds himself facing an 18-year prison sentence. In jail, he works his way to the top of the institution's violent drug trade, but, on his release from prison, he opts for a redemptive, family-centered lifestyle. However, his gangster friends (Pepe Serna, William Forsythe) try to force him back into illegal activities.",,R,Drama,Edward James Olmos,"Floyd Mutrux, Desmond Nakano","Edward James Olmos, William Forsythe, Pepe Serna, Danny De La Paz, Evelina Fernandez, Cary-Hiroyuki Tagawa, Daniel Villarreal, Sal Lopez, Daniel Haro, Daniel A. Haro, Vira Montes, Panchito Gomez, Steve Wilcox, Richard Coca, Tom Bower, Roberto Martin Marquez, Dyana Ortelli, Joe Aubel, Bob Morones, Rob Garrett, Lance August, Cody Glenn, Don Pugsley, Albert Joe Medina Jr., Alex Solis, Raymond Amezquita, Javier Castellanos, Richard Lee-Sung, Eric Close, Christian Klemash, Rafael Robledo, Brian Joe Holechek, Rigoberto Jiménez Hernández, Michael Shaner, Domingo Ambriz, Ron Thompson, Glenn Shelton, Scott Johnstad, Abraham J. Verduzco, Grace Morley, Vic Trevino, Robby Robinson, Paul Bollen, Guillermo Perez, Robert Chavez, Rafael H. Robledo, Modesto M. Sanchez, Dennis Ryan Sacco, Michael A. Shaner, Tom S. Ventimiglia, William Fetzer, Thomas Richard Gorman III, George Padilla, Humberto Madrigal, Jaime Gómez, Jose Guardado, Jacob Vargas, Daniel Lujan, Rodney Rincon, John A. Rangel, Robert Pucci, Tony Giorgio, Sabino Villalobos, Armando Briseno, Mauricio Ernesto Anzueto, Manny Perry, Bennie Moore, Alex Brown, William Smith, Gerald L. Walker, William T. Amos, Irma Aurea Garcia, Roberto Álvarez, Ken Medlock, Rolando Molina, Anna Lizarraga, Steven Cisneros",3/13/1992,10/1/2014,125,MCA Universal Home Video,Fresh,78,9,Upright,90,10340,2,7,2
m/american_pie,American Pie,"A riotous and raunchy exploration of the most eagerly anticipated -- and most humiliating -- rite of adulthood, known as losing one's virginity. In this hilarious lesson in life, love and libido, a group of friends, fed up with their well-deserved reputations as sexual no-hitters, decide to take action.","So embarrassing it's believable, American Pie succeeds in bringing back the teen movie genre.",R,Comedy,"Paul Weitz, Chris Weitz","Adam Herz, Paul Weitz","Jason Biggs, Mena Suvari, Alyson Hannigan, Shannon Elizabeth, Chris Klein, Eugene Levy, Natasha Lyonne, Thomas Ian Nicholas, Tara Reid, Eddie Kaye Thomas, Seann William Scott, Jennifer Coolidge, Chris Owen, Molly Cheek, Clyde Kusatsu, Lawrence Pressman, Christina Milian, Woody Schultz, Casey Erklin, Annika Hays, Eden Riegel, Justin Isfeld, John Cho, Alexandra Adi, Veronica Lauren, Monica McSwain, Fletcher Sheridan, Robyn Roth, Jamar Cargo, Akuyoe Graham, Katie Lansdale, Jay Rossi, Linda Gehringer, Ashton Dane, Sasha Barrese, Eric Lively, Eli Marienthal, Travis Cody Aimer, Mark Hoppus, Thomas M. Delonge, Travis Barker, Danny Spink, James DeBello, Amber Phillips, Clementine Ford, Hilary Salvatore, Jasmine Stocken, Jillian Bach, David Kuhn, Dan Coronel, Pete Pallad, J. D. Doyle, Lito Coronel, Thomas DeLonge, Daniel Spink",7/9/1999,1/1/2015,95,Universal Pictures,Fresh,61,129,Upright,61,33781574,29,79,50
m/american_pie_2,American Pie 2,"After a year apart - attending different schools, meeting different people - the guys rent a beach house and vow to make this the best summer ever. As it turns out, whether that will happen or not has a lot to do with the girls. Between the wild parties, outrageous revelations and yes, a trip to band camp, they discover that times change and people change, but in the end, it's all about sticking together.","Being a sequel, American Pie 2 doesn't retain the freshness of the original, nor is it as funny.",R,Comedy,"J.B. Rogers, James B. Rogers",Adam Herz,"Jason Biggs, Shannon Elizabeth, Jennifer Coolidge, Alyson Hannigan, Shannon Elizabeth Fadal, Chris Klein, Seann William Scott, Thomas Ian Nicholas, Natasha Lyonne, Tara Reid, Mena Suvari, Eddie Kaye Thomas, Eugene Levy, Chris Owen, Molly Cheek, Nick Gray, Denise Faye, Lisa Arturo, John Cho, Justin Isfeld, Eli Marienthal, Casey Affleck, George Wyner, Steven Shenbaum, Matthew Peters, Joelle Carter, Matthew Frauman, Larry Drake, Lee Garlington, Tsianina Joelson, Bree Turner, Lacey Freeman, Lisa Gould, Brian Lester, Nigel Gibbs, Ernie Lively, Kevin Cooney, Marilyn Brett, Morgan Nagler, Jack Wallace, Jesse Heiman, Joanna Garcia, Sarah Laine, Nora Zehetner, David Smigelski, Luke Edwards, Adam Brody, Amanda Armato, Nancy Stone, Kevin Kilner, Cole Petersen, Paityn James, Brian Turk, Mike Erwin, Robert Peters, Amara Balthrop-Lewis, Jay Rossi, Joseph D. Reitman, Adam Herz, J.B. Rogers, Brett Shuttleworth, Amanda Wilmshurst, Devon Jackson, Daniel Spink, Tamia Richmond, Rachel Blasko, Laurie Ellan Reeves, Derrick Harper, Kelley Schneider",8/10/2001,5/8/2015,105,Universal Pictures,Rotten,52,127,Upright,68,954966,34,66,61
m/american_pie_presents_band_camp,American Pie Presents: Band Camp,"Eager to carry on his older brother's legacy of mischievous and lewd behavior, Matt Stifler (Tad Hilgenbrinck) masterminds a school prank that lands him in serious trouble. Banished to band camp as punishment, Matt initially rails against his geeky and musically inclined surroundings, but he has a change of heart when he encounters the lovely Elyse (Arielle Kebbel), his childhood love interest. Can Matt tame his raucous inclinations to win the girl of his dreams?",,R,Comedy,Steve Rash,Brad Riddell,"Tad Hilgenbrinck, Arielle Kebbel, Jason Earles, Eugene Levy, Tara Killian, Chris Owen, Ginger Lynn Allen, Crystle Lightning, Jennifer Walcott, Carla Alaponte, Matt T. Baker, Matt Barr, Daniel Booko, Sean Briskey, Jasmine Dustin, Russell Howard, Bryan Irzyk, Richard Keith, Kathleen LaGue, Michael Lawson, Jun Hee Lee, Angela Little Mackenzie, Dossett March, Lily Mariye, Lauren C. Mayhew, Omar Benson Miller, Norm O'Neill, Nick Rish, Tim Stack, Claire Titelman, Rachel Veltri",12/27/2005,5/7/2015,91,Universal Pictures,Rotten,17,6,Spilled,50,477294,0,1,5
m/american_reunion_2012,American Reunion,"In the summer of 1999, four small-town Michigan boys began a quest to lose their virginity. In the ensuing years, Jim (Jason Biggs) has married Michelle (Alyson Hannigan), though Kevin (Thomas Ian Nicholas) has left Vicky (Tara Reid). Oz (Chris Klein) has grown apart from Heather (Mena Suvari), but Finch still has the hots for Stiffler's (Seann William Scott) mom (Jennifer Coolidge). These lifelong friends have come home to reminisce about -- and become inspired by -- their former teen selves.","It'll provide sweetly nostalgic comfort food for fans of the franchise, but American Reunion fails to do anything truly new or interesting -- or even very funny -- with the characters.",R,"Comedy, Romance","Jon Hurwitz, Hayden Schlossberg","Adam Herz, Hayden Schlossberg, Jon Hurwitz","Alyson Hannigan, Jason Biggs, Chris Klein, Thomas Ian Nicholas, Tara Reid, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Eugene Levy, Shannon Elizabeth, Dania Ramirez, Katrina Bowden, Natasha Lyonne, Justin Isfeld, John Cho, Jennifer Coolidge, Jay Harrington, Ali Cobrin, Chuck Hittinger, Chris Owen, Charlene Amoia, Jesse Malinowski, Robert Hayes, Vik Sahay, Stevie Ray Dallimore, Kim Wall, Neil Patrick Harris, George Christopher Bianchi, Jennifer Bell, Autumn Dial, Rebecca Field, Vince Pisani, Terri James, Jennifer Kober, Raheem Babalola, Valarie Kobrovsky, Benjamin G. Arthur, Hart Turner, Matt Mangum, Molly Cheek, Brian Mahoney, Chad Ochocinco, Zane Wind, Randy Hurwitz, Helenna Santos Levy, Michael Beasley, Pam Green, Joseph Kaiser, Michael May, Logan Van Sickle, Chase Krepp, Maximiliano Wissinger, John Jason Bailey, Elizabeth Shea Hurwitz, Rod C. Rich, Jenna Willis",4/6/2012,8/14/2015,112,Universal Studios,Rotten,45,184,Upright,63,339040,40,83,101
m/american_tail,An American Tail,"A young mouse named Fievel Mousekewitz (Phillip Glasser) and his family emigrate from Russia to the United States by boat after their home is destroyed by cats. During the trip, a fierce storm throws Fievel from the ship, and he loses contact with his family. Luckily, he manages to sail to New York in a bottle. There, Irish mouse Bridget (Cathianne Blore), an Italian mouse named Tony (Pat Musick) and a kindly cat named Tiger (Dom DeLuise) help Fievel search for his loved ones.","Exquisitely animated, An American Tail is a sweet, melancholy, immigrants story.",G,"Action & Adventure, Animation, Kids & Family",Don Bluth,"Judy Freudberg, Tony Geiss, Judith Freudberg","Phillip Glasser, Amy Green, John Finnegan, Cathianne Blore, Philip Glasser, Dom DeLuise, Madeline Kahn, Pat Musick, Christopher Plummer, Erica Yohn, Will Ryan, Hal Smith, Neil Ross, Nehemiah Persoff",11/21/1986,5/23/2016,80,Universal Pictures,Fresh,71,28,Upright,71,257273,7,20,8
m/american_tail_fievel_goes_west,An American Tail - Fievel Goes West,"Fievel and family continue their pursuit of the American dream by heading West. Fievel wants to be a lawman and his sister wants to make it as a dance hall singer. They are trying to get away from cats, but they find their move doesn't work out as easy as they would like.",,G,"Action & Adventure, Animation, Kids & Family, Western","Phil Nibbelink, Simon Wells","Flint Dille, Charles Swenson","Philip Glasser, Phillip Glasser, James Stewart, John Cleese, Amy Irving, Nehemiah Persoff, Cathy Cavadini, Dom DeLuise, Jon Lovitz, Jack Angel, Fausto Bara, Vanna Bonta, Philip L. Clarke, Philip Clarke, Jennifer Darling, Annie Holliday, Sherry Lynn, Lev Mailer, Mickie T. McGowan, Larry Moss, Nigel Pegram, Patrick Pinney, Lisa Raggio, Lawrence Steffan, David Tate, Robert Watts, Erica Yohn",11/22/1991,11/10/2014,74,Universal Pictures,Rotten,54,13,Upright,62,338615,2,7,6
m/american_wedding,American Wedding,"Even though Jim (Jason Biggs) and Michelle (Alyson Hannigan) have been dating for several years, she's still surprised when he proposes to her in their favorite restaurant. After she happily agrees, Jim asks his best friends, Kevin (Thomas Ian Nicholas) and Paul (Eddie Kaye Thomas), to help him make sure the wedding goes as smoothly as possible. As the big day approaches, trouble arises when the trio learns their hard-partying friend, Stifler (Seann William Scott), is in town.","Raunchier and even more gross than the first two American Pies, American Wedding ought to please fans of the series.",R,Comedy,Jesse Dylan,Adam Herz,"Jason Biggs, Seann William Scott, Alyson Hannigan, Eddie Kaye Thomas, Thomas Ian Nicholas, January Jones, Eugene Levy, Molly Cheek, Deborah Rush, Fred Willard, Eric Allan Kramer, Angela Paton, Eric Allen Kramer, Amanda Swisten, Tim Allen, Nikki Schieler Ziering, Lawrence Pressman, Antoinette Levine, Alexis Thorpe, Rey Gallegos, Kate Hendrickson, Rob Nagle, Corinne Reilly-Elfont, Loren Lester, Justin Isfeld, John Cho, James Reese, Michael Coleman, Patrick Gallo, Golde Starger, Max Goudsmit, Logan Bartholomew, Neal Flaherty, Jennifer Coolidge, Julie Payne, Peter Reinert, Peter Gaddis, Chris Bender, Jim Reese, Tony Gatto, William Belli, Ryan Rubin, Brad Hammer, Frank Roessler",8/1/2003,8/14/2015,97,Universal Pictures,Rotten,54,155,Upright,63,494875,35,83,72
